first_name,last_name,date_of_birth,school_name,teacher_name,competitor_number,competition_code,competition_name,age_group,level,dance_type
Fiadh,O'Brien,2017-06-30,Scoil Rince Ni Bhriain,Colm Murphy,116,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Fiadh,O'Brien,2017-06-30,Scoil Rince Ni Bhriain,Colm Murphy,116,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Fiadh,O'Brien,2017-06-30,Scoil Rince Ni Bhriain,Colm Murphy,116,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Tadhg,Nolan,2016-11-23,Claddagh School,Sean Claddagh,309,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Tadhg,Nolan,2016-11-23,Claddagh School,Sean Claddagh,309,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Finn,Walsh,2017-04-30,Harney Academy,Bridget Harney,411,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Finn,Walsh,2017-04-30,Harney Academy,Bridget Harney,411,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Finn,Walsh,2017-04-30,Harney Academy,Bridget Harney,411,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Grace,Hennessy,2016-06-07,McGrath Academy,Fiona McGrath,212,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Grace,Hennessy,2016-06-07,McGrath Academy,Fiona McGrath,212,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Grace,Hennessy,2016-06-07,McGrath Academy,Fiona McGrath,212,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Diarmuid,Carroll,2017-09-15,Scoil Rince Ni Bhriain,Colm Murphy,117,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Diarmuid,Carroll,2017-09-15,Scoil Rince Ni Bhriain,Colm Murphy,117,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Ronan,Coffey,2016-02-17,Harney Academy,Bridget Harney,418,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Ronan,Coffey,2016-02-17,Harney Academy,Bridget Harney,418,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Aoife,Dunne,2016-08-15,Brady Campbell School,Mary Brady,504,4,Beginner Under 8 Reel,Under 8,Beginner,reel
Aoife,Dunne,2016-08-15,Brady Campbell School,Mary Brady,504,5,Beginner Under 8 Light Jig,Under 8,Beginner,jig
Aoife,Dunne,2016-08-15,Brady Campbell School,Mary Brady,504,6,Beginner Under 8 Slip Jig,Under 8,Beginner,slip_jig
Siobhan,Murphy,2014-06-18,Scoil Rince Ni Bhriain,Colm Murphy,105,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Siobhan,Murphy,2014-06-18,Scoil Rince Ni Bhriain,Colm Murphy,105,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Siobhan,Murphy,2014-06-18,Scoil Rince Ni Bhriain,Colm Murphy,105,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Grainne,Daly,2015-01-09,Harney Academy,Bridget Harney,402,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Grainne,Daly,2015-01-09,Harney Academy,Bridget Harney,402,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Grainne,Daly,2015-01-09,Harney Academy,Bridget Harney,402,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Clodagh,Nolan,2014-10-25,Claddagh School,Sean Claddagh,304,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Clodagh,Nolan,2014-10-25,Claddagh School,Sean Claddagh,304,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Eimear,Connolly,2015-04-17,Scoil Rince Ni Bhriain,Colm Murphy,106,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Eimear,Connolly,2015-04-17,Scoil Rince Ni Bhriain,Colm Murphy,106,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Deirdre,Quinn,2014-08-03,McGrath Academy,Fiona McGrath,203,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Deirdre,Quinn,2014-08-03,McGrath Academy,Fiona McGrath,203,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Deirdre,Quinn,2014-08-03,McGrath Academy,Fiona McGrath,203,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Conor,Moore,2013-08-27,Harney Academy,Bridget Harney,409,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Conor,Moore,2013-08-27,Harney Academy,Bridget Harney,409,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Conor,Moore,2013-08-27,Harney Academy,Bridget Harney,409,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Daire,Sullivan,2015-09-12,McGrath Academy,Fiona McGrath,208,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Daire,Sullivan,2015-09-12,McGrath Academy,Fiona McGrath,208,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Eoin,Gallagher,2014-02-07,Scoil Rince Ni Bhriain,Colm Murphy,112,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Eoin,Gallagher,2014-02-07,Scoil Rince Ni Bhriain,Colm Murphy,112,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Eoin,Gallagher,2014-02-07,Scoil Rince Ni Bhriain,Colm Murphy,112,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Ella,Moore,2013-05-19,Brady Campbell School,Mary Brady,501,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Ella,Moore,2013-05-19,Brady Campbell School,Mary Brady,501,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Ella,Moore,2013-05-19,Brady Campbell School,Mary Brady,501,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Megan,Moore,2015-07-04,Harney Academy,Bridget Harney,413,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Megan,Moore,2015-07-04,Harney Academy,Bridget Harney,413,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Megan,Moore,2015-07-04,Harney Academy,Bridget Harney,413,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Katie,Donovan,2014-12-19,Harney Academy,Bridget Harney,412,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Katie,Donovan,2014-12-19,Harney Academy,Bridget Harney,412,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Katie,Donovan,2014-12-19,Harney Academy,Bridget Harney,412,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Darragh,Quinn,2015-08-14,Claddagh School,Sean Claddagh,312,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Darragh,Quinn,2015-08-14,Claddagh School,Sean Claddagh,312,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Saoirse,Kennedy,2014-07-09,Harney Academy,Bridget Harney,423,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Saoirse,Kennedy,2014-07-09,Harney Academy,Bridget Harney,423,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Saoirse,Kennedy,2014-07-09,Harney Academy,Bridget Harney,423,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Lorcan,Healy,2015-11-18,McGrath Academy,Fiona McGrath,213,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Lorcan,Healy,2015-11-18,McGrath Academy,Fiona McGrath,213,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Cliona,Murray,2014-04-30,McGrath Academy,Fiona McGrath,214,7,Beginner Under 10 Reel,Under 10,Beginner,reel
Cliona,Murray,2014-04-30,McGrath Academy,Fiona McGrath,214,8,Beginner Under 10 Light Jig,Under 10,Beginner,jig
Cliona,Murray,2014-04-30,McGrath Academy,Fiona McGrath,214,9,Beginner Under 10 Slip Jig,Under 10,Beginner,slip_jig
Sorcha,Maguire,2012-09-11,Harney Academy,Bridget Harney,403,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Sorcha,Maguire,2012-09-11,Harney Academy,Bridget Harney,403,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Sorcha,Maguire,2012-09-11,Harney Academy,Bridget Harney,403,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Sorcha,Maguire,2012-09-11,Harney Academy,Bridget Harney,403,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Bronagh,Healy,2013-02-28,Scoil Rince Ni Bhriain,Colm Murphy,107,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Bronagh,Healy,2013-02-28,Scoil Rince Ni Bhriain,Colm Murphy,107,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Bronagh,Healy,2013-02-28,Scoil Rince Ni Bhriain,Colm Murphy,107,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Tara,Flanagan,2012-06-14,McGrath Academy,Fiona McGrath,204,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Tara,Flanagan,2012-06-14,McGrath Academy,Fiona McGrath,204,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Tara,Flanagan,2012-06-14,McGrath Academy,Fiona McGrath,204,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Emer,Duffy,2013-07-20,Claddagh School,Sean Claddagh,305,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Emer,Duffy,2013-07-20,Claddagh School,Sean Claddagh,305,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Emer,Duffy,2013-07-20,Claddagh School,Sean Claddagh,305,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Emer,Duffy,2013-07-20,Claddagh School,Sean Claddagh,305,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Sinead,O'Brien,2012-11-05,Harney Academy,Bridget Harney,404,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Sinead,O'Brien,2012-11-05,Harney Academy,Bridget Harney,404,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Padraig,Maguire,2012-03-14,Harney Academy,Bridget Harney,408,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Padraig,Maguire,2012-03-14,Harney Academy,Bridget Harney,408,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Padraig,Maguire,2012-03-14,Harney Academy,Bridget Harney,408,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Padraig,Maguire,2012-03-14,Harney Academy,Bridget Harney,408,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Isobel,Kelly,2013-01-26,Scoil Rince Ni Bhriain,Colm Murphy,113,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Isobel,Kelly,2013-01-26,Scoil Rince Ni Bhriain,Colm Murphy,113,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Isobel,Kelly,2013-01-26,Scoil Rince Ni Bhriain,Colm Murphy,113,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Isobel,Kelly,2013-01-26,Scoil Rince Ni Bhriain,Colm Murphy,113,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Alannah,Daly,2012-04-08,McGrath Academy,Fiona McGrath,210,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Alannah,Daly,2012-04-08,McGrath Academy,Fiona McGrath,210,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Alannah,Daly,2012-04-08,McGrath Academy,Fiona McGrath,210,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Abby,Tobin,2012-08-30,Brady Campbell School,Mary Brady,502,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Abby,Tobin,2012-08-30,Brady Campbell School,Mary Brady,502,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Abby,Tobin,2012-08-30,Brady Campbell School,Mary Brady,502,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Brendan,Moran,2012-10-22,Scoil Rince Academy,Patrick Moran,601,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Brendan,Moran,2012-10-22,Scoil Rince Academy,Patrick Moran,601,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Brendan,Moran,2012-10-22,Scoil Rince Academy,Patrick Moran,601,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Molly,Ryan,2013-10-12,Harney Academy,Bridget Harney,416,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Molly,Ryan,2013-10-12,Harney Academy,Bridget Harney,416,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Molly,Ryan,2013-10-12,Harney Academy,Bridget Harney,416,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Molly,Ryan,2013-10-12,Harney Academy,Bridget Harney,416,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Riona,Sweeney,2012-07-22,Claddagh School,Sean Claddagh,313,10,Adv Beginner Under 12 Reel,Under 12,Advanced Beginner,reel
Riona,Sweeney,2012-07-22,Claddagh School,Sean Claddagh,313,11,Adv Beginner Under 12 Light Jig,Under 12,Advanced Beginner,jig
Riona,Sweeney,2012-07-22,Claddagh School,Sean Claddagh,313,12,Adv Beginner Under 12 Hornpipe,Under 12,Advanced Beginner,hornpipe
Riona,Sweeney,2012-07-22,Claddagh School,Sean Claddagh,313,13,Adv Beginner Under 12 Heavy Jig,Under 12,Advanced Beginner,treble_jig
Meadhbh,Kavanagh,2011-04-09,Scoil Rince Ni Bhriain,Colm Murphy,108,14,Novice Under 12 Reel,Under 12,Novice,reel
Meadhbh,Kavanagh,2011-04-09,Scoil Rince Ni Bhriain,Colm Murphy,108,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Meadhbh,Kavanagh,2011-04-09,Scoil Rince Ni Bhriain,Colm Murphy,108,16,Novice Under 12 Slip Jig,Under 12,Novice,slip_jig
Meadhbh,Kavanagh,2011-04-09,Scoil Rince Ni Bhriain,Colm Murphy,108,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Keelin,Murray,2010-08-22,McGrath Academy,Fiona McGrath,205,14,Novice Under 12 Reel,Under 12,Novice,reel
Keelin,Murray,2010-08-22,McGrath Academy,Fiona McGrath,205,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Keelin,Murray,2010-08-22,McGrath Academy,Fiona McGrath,205,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Ailbhe,Lawlor,2011-01-30,Harney Academy,Bridget Harney,405,14,Novice Under 12 Reel,Under 12,Novice,reel
Ailbhe,Lawlor,2011-01-30,Harney Academy,Bridget Harney,405,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Ailbhe,Lawlor,2011-01-30,Harney Academy,Bridget Harney,405,16,Novice Under 12 Slip Jig,Under 12,Novice,slip_jig
Ailbhe,Lawlor,2011-01-30,Harney Academy,Bridget Harney,405,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Sadhbh,Tierney,2011-06-17,Claddagh School,Sean Claddagh,306,14,Novice Under 12 Reel,Under 12,Novice,reel
Sadhbh,Tierney,2011-06-17,Claddagh School,Sean Claddagh,306,16,Novice Under 12 Slip Jig,Under 12,Novice,slip_jig
Sadhbh,Tierney,2011-06-17,Claddagh School,Sean Claddagh,306,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Cian,O'Donnell,2011-10-16,McGrath Academy,Fiona McGrath,209,14,Novice Under 12 Reel,Under 12,Novice,reel
Cian,O'Donnell,2011-10-16,McGrath Academy,Fiona McGrath,209,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Cian,O'Donnell,2011-10-16,McGrath Academy,Fiona McGrath,209,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Cian,O'Donnell,2011-10-16,McGrath Academy,Fiona McGrath,209,18,Novice Under 12 Heavy Jig,Under 12,Novice,treble_jig
Shauna,Tobin,2011-11-08,Scoil Rince Ni Bhriain,Colm Murphy,120,14,Novice Under 12 Reel,Under 12,Novice,reel
Shauna,Tobin,2011-11-08,Scoil Rince Ni Bhriain,Colm Murphy,120,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Shauna,Tobin,2011-11-08,Scoil Rince Ni Bhriain,Colm Murphy,120,16,Novice Under 12 Slip Jig,Under 12,Novice,slip_jig
Cillian,Doyle,2011-07-28,Claddagh School,Sean Claddagh,311,14,Novice Under 12 Reel,Under 12,Novice,reel
Cillian,Doyle,2011-07-28,Claddagh School,Sean Claddagh,311,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Cillian,Doyle,2011-07-28,Claddagh School,Sean Claddagh,311,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Cillian,Doyle,2011-07-28,Claddagh School,Sean Claddagh,311,18,Novice Under 12 Heavy Jig,Under 12,Novice,treble_jig
Ciara,Collins,2011-09-03,Brady Campbell School,Mary Brady,503,14,Novice Under 12 Reel,Under 12,Novice,reel
Ciara,Collins,2011-09-03,Brady Campbell School,Mary Brady,503,15,Novice Under 12 Light Jig,Under 12,Novice,jig
Ciara,Collins,2011-09-03,Brady Campbell School,Mary Brady,503,16,Novice Under 12 Slip Jig,Under 12,Novice,slip_jig
Ciara,Collins,2011-09-03,Brady Campbell School,Mary Brady,503,17,Novice Under 12 Hornpipe,Under 12,Novice,hornpipe
Caoilfhionn,Reilly,2010-03-08,Scoil Rince Ni Bhriain,Colm Murphy,109,19,Novice Under 14 Reel,Under 14,Novice,reel
Caoilfhionn,Reilly,2010-03-08,Scoil Rince Ni Bhriain,Colm Murphy,109,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Caoilfhionn,Reilly,2010-03-08,Scoil Rince Ni Bhriain,Colm Murphy,109,21,Novice Under 14 Slip Jig,Under 14,Novice,slip_jig
Caoilfhionn,Reilly,2010-03-08,Scoil Rince Ni Bhriain,Colm Murphy,109,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Blathnaid,Burke,2009-11-14,McGrath Academy,Fiona McGrath,206,19,Novice Under 14 Reel,Under 14,Novice,reel
Blathnaid,Burke,2009-11-14,McGrath Academy,Fiona McGrath,206,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Blathnaid,Burke,2009-11-14,McGrath Academy,Fiona McGrath,206,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Muireann,Coffey,2010-07-26,Harney Academy,Bridget Harney,406,19,Novice Under 14 Reel,Under 14,Novice,reel
Muireann,Coffey,2010-07-26,Harney Academy,Bridget Harney,406,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Muireann,Coffey,2010-07-26,Harney Academy,Bridget Harney,406,21,Novice Under 14 Slip Jig,Under 14,Novice,slip_jig
Muireann,Coffey,2010-07-26,Harney Academy,Bridget Harney,406,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Laoise,Dunne,2009-05-02,Claddagh School,Sean Claddagh,307,19,Novice Under 14 Reel,Under 14,Novice,reel
Laoise,Dunne,2009-05-02,Claddagh School,Sean Claddagh,307,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Laoise,Dunne,2009-05-02,Claddagh School,Sean Claddagh,307,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Sean,Kelly,2009-12-05,Harney Academy,Bridget Harney,422,19,Novice Under 14 Reel,Under 14,Novice,reel
Sean,Kelly,2009-12-05,Harney Academy,Bridget Harney,422,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Sean,Kelly,2009-12-05,Harney Academy,Bridget Harney,422,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Liam,Brennan,2010-05-21,Claddagh School,Sean Claddagh,310,19,Novice Under 14 Reel,Under 14,Novice,reel
Liam,Brennan,2010-05-21,Claddagh School,Sean Claddagh,310,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Liam,Brennan,2010-05-21,Claddagh School,Sean Claddagh,310,21,Novice Under 14 Slip Jig,Under 14,Novice,slip_jig
Erin,Gallagher,2010-12-01,Scoil Rince Ni Bhriain,Colm Murphy,118,19,Novice Under 14 Reel,Under 14,Novice,reel
Erin,Gallagher,2010-12-01,Scoil Rince Ni Bhriain,Colm Murphy,118,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Erin,Gallagher,2010-12-01,Scoil Rince Ni Bhriain,Colm Murphy,118,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Aoife,Tobin,2010-02-14,Harney Academy,Bridget Harney,414,19,Novice Under 14 Reel,Under 14,Novice,reel
Aoife,Tobin,2010-02-14,Harney Academy,Bridget Harney,414,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Aoife,Tobin,2010-02-14,Harney Academy,Bridget Harney,414,21,Novice Under 14 Slip Jig,Under 14,Novice,slip_jig
Aoife,Tobin,2010-02-14,Harney Academy,Bridget Harney,414,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Rory,Flanagan,2009-03-16,McGrath Academy,Fiona McGrath,215,19,Novice Under 14 Reel,Under 14,Novice,reel
Rory,Flanagan,2009-03-16,McGrath Academy,Fiona McGrath,215,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Rory,Flanagan,2009-03-16,McGrath Academy,Fiona McGrath,215,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Aidan,Burke,2009-09-04,Claddagh School,Sean Claddagh,314,19,Novice Under 14 Reel,Under 14,Novice,reel
Aidan,Burke,2009-09-04,Claddagh School,Sean Claddagh,314,20,Novice Under 14 Light Jig,Under 14,Novice,jig
Aidan,Burke,2009-09-04,Claddagh School,Sean Claddagh,314,22,Novice Under 14 Hornpipe,Under 14,Novice,hornpipe
Declan,Kavanagh,2010-01-09,Harney Academy,Bridget Harney,417,19,Novice Under 14 Reel,Under 14,Novice,reel
Declan,Kavanagh,2010-01-09,Harney Academy,Bridget Harney,417,20,Novice Under 14 Light Jig,Under 14,Novice,jig
